8º,Elementos de Automação e Robótica,Engenharia de Computação,NR01,2TER,19:00,20:15,
8º,Elementos de Automação e Robótica,Engenharia de Computação,NR01,2TER,20:35,21:50,
8º,Saúde e Qualidade de Vida ,Engenharia de Computação,NR01,4QUI,19:00,20:15,
9º,Mecânica dos Fluídos I,Engenharia de Computação,NR01,3QUA,17:30,18:45,
9º,Mecânica dos Fluídos I,Engenharia de Computação,NR01,2TER,17:30,18:45,
9º,Inteligência Artificial,Engenharia de Computação,NR01,1SEG,17:30,18:45,
9º,Inteligência Artificial,Engenharia de Computação,NR01,3QUA,17:30,18:45,
9º,Redes de Computadores II,Engenharia de Computação,NR01,5SEX,19:00,20:15,
9º,Redes de Computadores II,Engenharia de Computação,NR01,5SEX,20:35,21:50,
9º,Empreendedorismo,Engenharia de Computação,NR01,4QUI,19:00,20:15,
10º,Gestão de Empreendimentos de Engenharia,Engenharia de Computação,NR01,3QUA,19:00,20:15,
10º,Engenharia de Software,Engenharia de Computação,NR01,2TER,18:30,20:10,
10º,Engenharia de Software,Engenharia de Computação,NR01,2TER,20:20,22:00,
10º,Inteligência Artificial,Engenharia de Computação,NR01,1SEG,17:30,18:45,
10º,Inteligência Artificial,Engenharia de Computação,NR01,3QUA,17:30,18:45,
10º,"Sociedade, Direito e Cidadania",Engenharia de Computação,NR01,3QUA,20:35,21:50,
1º,Introdução à Engenharia,Engenharia Elétrica,MR01,3QUA,10:05,11:20,
1º,Algoritmos e Programação                                                                  ,Engenharia Elétrica,MR01,5SEX,10:05,11:20,
1º,Algoritmos e Programação                                                                  ,Engenharia Elétrica,MR01,5SEX,11:30,12:45,
1º,Cálculo I,Engenharia Elétrica,MR01,4QUI,10:05,11:20,
1º,Cálculo I,Engenharia Elétrica,MR01,4QUI,11:30,12:45,
1º,Química Geral ,Engenharia Elétrica,MR01,2TER,7:15,8:30,
1º,Química Geral - PA,Engenharia Elétrica,MR01,2TER,8:40,9:55,
1º,Química Geral - PB,Engenharia Elétrica,MR01,2TER,10:05,11:20,
1º,Comunicação Profissional,Engenharia Elétrica,MR01,5SEX,8:40,9:55,
1º,Introdução à Engenharia,Engenharia Elétrica,MR02,1SEG,7:15,8:30,
1º,Algoritmos e Programação                                                                  ,Engenharia Elétrica,MR02,3QUA,7:15,8:30,
1º,Algoritmos e Programação                                                                  ,Engenharia Elétrica,MR02,3QUA,8:40,9:55,
1º,Cálculo I,Engenharia Elétrica,MR02,4QUI,10:05,11:20,
1º,Cálculo I,Engenharia Elétrica,MR02,4QUI,11:30,12:45,
1º,Química Geral ,Engenharia Elétrica,MR02,2TER,7:15,8:30,
1º,Química Geral - PA,Engenharia Elétrica,MR02,2TER,8:40,9:55,
1º,Química Geral - PB,Engenharia Elétrica,MR02,2TER,10:05,11:20,
1º,Comunicação Profissional,Engenharia Elétrica,MR02,4QUI,8:40,9:55,
1º,Introdução à Engenharia,Engenharia Elétrica,VR01,1SEG,13:15,14:30,
1º,Algoritmos e Programação                                                                  ,Engenharia Elétrica,VR01,2TER,14:40,15:55,
1º,Algoritmos e Programação                                                                  ,Engenharia Elétrica,VR01,2TER,16:05,17:20,
1º,Cálculo I,Engenharia Elétrica,VR01,4QUI,14:40,15:55,
1º,Cálculo I,Engenharia Elétrica,VR01,4QUI,16:05,17:20,
1º,Química Geral ,Engenharia Elétrica,VR01,1SEG,14:40,15:55,
1º,Química Geral - PA,Engenharia Elétrica,VR01,1SEG,16:05,17:20,
1º,Química Geral - PB,Engenharia Elétrica,VR01,1SEG,17:30,18:45,
1º,Comunicação Profissional,Engenharia Elétrica,VR01,4QUI,17:30,18:45,
1º,Introdução à Engenharia,Engenharia Elétrica,NR01,1SEG,20:35,21:50,
1º,Algoritmos e Programação                                                                  ,Engenharia Elétrica,NR01,4QUI,19:00,20:15,
1º,Algoritmos e Programação                                                                  ,Engenharia Elétrica,NR01,4QUI,20:35,21:50,
1º,Cálculo I,Engenharia Elétrica,NR01,3QUA,19:00,20:15,
1º,Cálculo I,Engenharia Elétrica,NR01,3QUA,20:35,21:50,
1º,Química Geral ,Engenharia Elétrica,NR01,2TER,17:30,18:45,
1º,Química Geral - PA,Engenharia Elétrica,NR01,2TER,19:00,20:15,
1º,Química Geral - PB,Engenharia Elétrica,NR01,2TER,20:35,21:50,
1º,Comunicação Profissional,Engenharia Elétrica,NR01,1SEG,19:00,20:15,
2º,Física - Mecânica,Engenharia Elétrica,MR01,1SEG,10:05,11:20,
2º,Física - Mecânica - PA,Engenharia Elétrica,MR01,1SEG,11:30,11:45,
2º,Linguagem de Programação,Engenharia Elétrica,MR01,3QUA,7:15,8:30,
2º,Linguagem de Programação,Engenharia Elétrica,MR01,3QUA,8:40,9:55,
2º,Geometria Analítica e Álgebra Linear,Engenharia Elétrica,MR01,4QUI,7:15,8:30,
2º,Geometria Analítica e Álgebra Linear,Engenharia Elétrica,MR01,4QUI,8:40,9:55,
2º,Cálculo II,Engenharia Elétrica,MR01,2TER,7:15,8:30,
2º,Cálculo II,Engenharia Elétrica,MR01,2TER,8:40,9:55,
2º,Sistemas Digitais,Engenharia Elétrica,MR01,2TER,10:05,11:20,
2º,Sistemas Digitais,Engenharia Elétrica,MR01,2TER,11:30,12:45,
2º,Desafios Contemporâneos,Engenharia Elétrica,MR01,3QUA,10:05,11:20,
2º,Física - Mecânica,Engenharia Elétrica,NR01,4QUI,19:00,20:15,
